'ledwards'	'logan edwards'	'ledwards@u.rochester.edu'	'1990'
'mmay'	'milan may'	'mmay@u.rochester.edu'	'1993'
'esherman'	'emery sherman'	'esherman@u.rochester.edu'	'1992'
'rmack'	'rory mack'	'rmack@u.rochester.edu'	'1988'
'hjames'	'holden james'	'hjames@u.rochester.edu'	'1988'
'cgilbert'	'carlos gilbert'	'cgilbert@u.rochester.edu'	'1990'
'kchavez'	'kolby chavez'	'kchavez@u.rochester.edu'	'1995'
'hrusso'	'hannah russo'	'hrusso@u.rochester.edu'	'1996'
'mgriffin'	'maison griffin'	'mgriffin@u.rochester.edu'	'1996'
'dvillarreal'	'dominik villarreal'	'dvillarreal@u.rochester.edu'	'1991'
'dstewart'	'deacon stewart'	'dstewart@u.rochester.edu'	'1990'
'ekent'	'esther kent'	'ekent@u.rochester.edu'	'1996'
'cmadden'	'caitlin madden'	'cmadden@u.rochester.edu'	'1994'
'jnewton'	'jaliyah newton'	'jnewton@u.rochester.edu'	'1990'
'fchristensen'	'frank christensen'	'fchristensen@u.rochester.edu'	'1996'
'imcdonald'	'imani mcdonald'	'imcdonald@u.rochester.edu'	'1993'
'kblair'	'kai blair'	'kblair@u.rochester.edu'	'1988'
'msanders'	'maya sanders'	'msanders@u.rochester.edu'	'1991'
'palvarado'	'payton alvarado'	'palvarado@u.rochester.edu'	'1994'
'ecasey'	'elijah casey'	'ecasey@u.rochester.edu'	'1995'
'spierce'	'samantha pierce'	'spierce@u.rochester.edu'	'1996'
'aturner'	'amari turner'	'aturner@u.rochester.edu'	'1988'
'djoyce'	'davon joyce'	'djoyce@u.rochester.edu'	'1995'
'apierce'	'armani pierce'	'apierce@u.rochester.edu'	'1995'
'gholcomb'	'greyson holcomb'	'gholcomb@u.rochester.edu'	'1991'
'glara'	'giada lara'	'glara@u.rochester.edu'	'1988'
'mlane'	'malcolm lane'	'mlane@u.rochester.edu'	'1996'
'mriggs'	'mercedes riggs'	'mriggs@u.rochester.edu'	'1995'
'rbishop'	'ryker bishop'	'rbishop@u.rochester.edu'	'1991'
'awatson'	'aydan watson'	'awatson@u.rochester.edu'	'1988'
'rrichardson'	'ruben richardson'	'rrichardson@u.rochester.edu'	'1988'
'kgoodwin'	'karla goodwin'	'kgoodwin@u.rochester.edu'	'1996'
'destes'	'daniela estes'	'destes@u.rochester.edu'	'1990'
'elee'	'ernesto lee'	'elee@u.rochester.edu'	'1993'
'dmanning'	'dexter manning'	'dmanning@u.rochester.edu'	'1988'
'lcabrera'	'lesly cabrera'	'lcabrera@u.rochester.edu'	'1991'
'aadams'	'aylin adams'	'aadams@u.rochester.edu'	'1995'
'jmendez'	'jessa mendez'	'jmendez@u.rochester.edu'	'1994'
'ewalker'	'elyse walker'	'ewalker@u.rochester.edu'	'1996'
'lray'	'leonel ray'	'lray@u.rochester.edu'	'1996'
'dgarrett'	'darius garrett'	'dgarrett@u.rochester.edu'	'1989'
'pkeller'	'prince keller'	'pkeller@u.rochester.edu'	'1992'
'czimmerman'	'carmelo zimmerman'	'czimmerman@u.rochester.edu'	'1991'
'jchaney'	'jaelynn chaney'	'jchaney@u.rochester.edu'	'1989'
'ngates'	'nathanael gates'	'ngates@u.rochester.edu'	'1988'
'iromero'	'israel romero'	'iromero@u.rochester.edu'	'1990'
'kmcclain'	'kyra mcclain'	'kmcclain@u.rochester.edu'	'1995'
'ageorge'	'alejandra george'	'ageorge@u.rochester.edu'	'1995'
'aburton'	'aryan burton'	'aburton@u.rochester.edu'	'1988'
